번호	곡 제목	가수
1	Must Have Love	SG워너비, 브라운아이드걸스
2	미리 메리 크리스마스 (Feat. 천둥)	아이유 (IU)
3	첫 눈에...	박효신
4	하얀 설레임 (White Love)	케이윌, 소유, 정민
5	Love in the Ice	동방신기 (TVXQ!)
6	크리스마스니까	성시경, 박효신, 이석훈, 서인국, VIXX
7	겨울 고백	성시경, 박효신, 서인국, VIXX, 여동생
8	12월의 기적 (Miracles in December)	EXO
9	첫 눈 (The First Snow)	EXO
10	하얀 겨울	Mr.2 (미스터 투)
11	창 밖을 봐요	장나라
12	Dear Santa	소녀시대-태티서
13	겨울잠	아이유 (IU)
14	눈 (Snow) (Feat. 이문세)	자이언티 (Zion.T)
15	눈의 꽃	박효신
16	커플 (Couple)	젝스키스
17	Lonely Christmas	크레용팝
18	Candy	NCT DREAM (H.O.T. 리메이크)
19	Madeleine Love	치즈 (CHEEZE)
20	한 겨울의 고백	멜로망스
21	사랑이 내린다 (Goodbye 20) (Feat. 김기리)	김예림
22	흰 눈	이루
23	겨울 동화	라붐 (LABOUM)
24	그 겨울의 찻집	조용필
25	고백 (Confession)	델리스파이스
26	눈이 오잖아 (Feat. 헤이즈)	이무진
27	Winter Story	DJ DOC
28	White (하얀 설렘)	핑클 (Fin.K.L)
29	엉뚱한 상상	지누 (Jinu)
30	크리스마스 선물	김동률
